Province,Number of Enterprises,Number of Colonies,Honey Production (Ton),Beeswax Production (Ton),Honey Yield (Kg/Colony),Il,Province Number
Adana,2297,487085,11582,251,23.78,Adana-1,1
Adiyaman,1561,88420,392,13,4.43,Adiyaman-2,2
Afyon,298,43629,310,7,7.11,Afyonkarahisar-3,3
Agri,290,26944,281,8,10.41,Agri-4,4
Aksaray,332,15304,75,2,4.9,Aksaray-68,68
Amasya,596,33034,448,13,13.57,Amasya-5,5
Ankara,1714,104433,624,25,5.98,Ankara-6,6
Antalya,3497,242450,2024,108,8.35,Antalya-7,7
Ardahan,707,36063,156,2,4.33,Ardahan-75,75
Artvin,2126,112927,701,15,6.21,Artvin-8,8
Aydin,1745,268533,2998,131,11.17,Aydin-9,9
Balikesir,2229,199437,2253,56,11.3,Balikesir-10,10
Bartin,635,38736,348,32,8.99,Bartin-74,74
Batman,865,68322,293,5,4.29,Batman-72,72
Bayburt,629,62213,252,19,4.05,Bayburt-69,69
Bilecik,430,20360,138,5,6.77,Bilecik-11,11
Bingol,1179,178917,1445,44,8.08,Bingol-12,12
Bitlis,1327,281200,2225,58,7.91,Bitlis-13,13
Bolu,634,23959,127,3,5.29,Bolu-14,14
Burdur,481,36373,185,22,5.1,Burdur-15,15
Bursa,1774,90656,1009,37,11.13,Bursa-16,16
Canakkale,1633,96698,2291,96,23.69,Canakkale-17,17
Cankiri,1099,46897,136,12,2.9,Cankiri-18,18
Corum,932,39665,390,14,9.82,Corum-19,19
Denizli,1011,106871,984,88,9.2,Denizli-20,20
Diyarbakir,1090,193664,2459,34,12.7,Diyarbakir-21,21
Duzce,801,53561,466,15,8.7,Duzce-81,81
Edirne,945,72161,603,13,8.35,Edirne-22,22
Elazig,1406,93816,604,49,6.44,Elazig-23,23
Erzincan,1255,106983,1127,53,10.53,Erzincan-24,24
Erzurum,2249,136074,964,54,7.08,Erzurum-25,25
Eskisehir,423,25029,133,5,5.31,Eskisehir-26,26
Gaziantep,423,34044,154,3,4.53,Gaziantep-27,27
Giresun,1754,117152,994,34,8.48,Giresun-28,28
Gumushane,625,40901,470,20,11.49,Gumushane-29,29
Hakkari,1349,155644,1048,71,6.74,Hakkari-30,30
Hatay,1063,127054,1137,61,8.95,Hatay-31,31
Igdir,279,17747,134,12,7.56,Igdir-76,76
Isparta,602,36924,256,28,6.92,Isparta-32,32
Istanbul,1616,93187,832,34,8.93,Istanbul-34,34
Izmir,2593,265658,2884,139,10.86,Izmir-35,35
K.Maras,1441,112679,686,51,6.09,Kahramanmaras-46,46
Karabuk,529,15885,96,3,6.02,Karabuk-78,78
Karaman,954,59484,288,15,4.84,Karaman-70,70
Kars,717,116035,1741,14,15,Kars-36,36
Kastamonu,1550,77508,307,23,3.96,Kastamonu-37,37
Kayseri,974,64372,458,14,7.11,Kayseri-38,38
Kilis,102,4133,13,1,3.23,Kilis-79,79
Kirikkale,269,12229,61,3,4.98,Kirikkale-71,71
Kirklareli,1116,54414,431,9,7.92,Kirklareli-39,39
Kirsehir,218,12045,86,3,7.15,Kirsehir-40,40
Kocaeli,1059,74564,909,24,12.19,Kocaeli-41,41
Konya,1733,129021,884,53,6.85,Konya-42,42
Kutahya,478,26278,216,8,8.23,Kutahya-43,43
Malatya,2015,121614,736,40,6.05,Malatya-44,44
Manisa,1764,92923,627,23,6.75,Manisa-45,45
Mardin,727,61028,812,12,13.31,Mardin-47,47
Mersin,2596,311631,1926,186,6.18,Mersin-33,33
Mugla,4308,728913,7031,356,9.65,Mugla-48,48
Mus,413,58864,528,22,8.98,Mus-49,49
Nevsehir,543,16736,107,5,6.39,Nevsehir-50,50
Nigde,388,44863,564,11,12.58,Nigde-51,51
Ordu,3114,625110,13001,237,20.8,Ordu-52,52
Osmaniye,802,69703,422,14,6.06,Osmaniye-80,80
Rize,2707,115147,388,15,3.37,Rize-53,53
Sakarya,1227,93905,729,26,7.76,Sakarya-54,54
Samsun,1755,94885,926,32,9.76,Samsun-55,55
Sanliurfa,943,194353,2420,27,12.45,Sanliurfa-63,63
Siirt,1379,227097,3048,34,13.42,Siirt-56,56
Sinop,892,27347,160,7,5.87,Sinop-57,57
Sirnak,924,97655,684,28,7,Sirnak-73,73
Sivas,2358,252611,4003,82,15.84,Sivas-58,58
Tekirdag,1256,68187,724,15,10.61,Tekirdag-59,59
Tokat,881,52022,582,26,11.18,Tokat-60,60
Trabzon,2629,155829,781,47,5.01,Trabzon-61,61
Tunceli,1027,80684,199,26,2.47,Tunceli-62,62
Usak,262,11784,67,0,5.69,Usak-64,64
Van,988,166937,2128,94,12.75,Van-65,65
Yalova,340,20941,184,6,8.78,Yalova-77,77
Yozgat,682,35439,415,22,11.71,Yozgat-66,66
ZONGULDAK,1430,58395,192,13,3.28,Zonguldak-67,67
